ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6059,2020-02-27
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6060,2020-02-27
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6061,2020-02-27
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6062,2020-02-27
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6063,2020-02-27
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6064,2020-02-27
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6065,2020-02-27
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6066,2020-02-27
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6067,2020-02-27
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6068,2020-02-27
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6069,2020-02-27
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6070,2020-02-27
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6071,2020-02-27
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6072,2020-02-27
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6073,2020-02-27
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6074,2020-02-27
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6075,2020-02-27
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6076,2020-02-27
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6077,2020-02-27
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6078,2020-02-27
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6079,2020-02-27
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6080,2020-02-27
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6081,2020-02-27
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6082,2020-02-27
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6083,2020-02-27
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6084,2020-02-27
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6085,2020-03-01
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6086,2020-03-01
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6087,2020-03-01
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6088,2020-03-01
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6089,2020-03-01
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6090,2020-03-01
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6091,2020-03-01
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6092,2020-03-01
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6093,2020-03-01
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6094,2020-03-01
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6095,2020-03-01
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6096,2020-03-01
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6097,2020-03-01
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6098,2020-03-01
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6099,2020-03-01
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6100,2020-03-01
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6101,2020-03-01
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6102,2020-03-01
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6103,2020-03-01
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6104,2020-03-01
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6105,2020-03-01
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6106,2020-03-01
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6107,2020-03-01
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6108,2020-03-01
